Transaction_Text,Amount,Deductee_Type,TDS_Section,TDS_Rate,TDS_Amount,Net_Payment,Ledger
Legal consultancy fees paid,11849,Firm,194J,10%,1184.9,10664.1,Professional Fees
Interest paid on loan,113110,Company,194A,10%,11311.0,101799.0,Interest Expense
Raw material purchase made,169859,Company,194Q,0.1%,169.86,169689.14,Purchase Expense
Doctor consultation fees paid,199713,Firm,194J,10%,19971.3,179741.7,Professional Fees
Office rent paid,208968,Company,194I,10%,20896.8,188071.2,Rent Expense
Raw material purchase made,9510,Professional,194Q,0.1%,9.51,9500.49,Purchase Expense
Building lease payment,200750,Firm,194I,10%,20075.0,180675.0,Rent Expense
Commission paid to agent,299474,Company,194H,5%,14973.7,284500.3,Commission Expense
Interest payment booked,227873,Professional,194A,10%,22787.3,205085.7,Interest Expense
Property rent paid,238923,Individual,194I,10%,23892.3,215030.7,Rent Expense
Construction work payment,456107,Contractor,194C,1%,4561.07,451545.93,Contractor Expense
Professional consultancy charges,52120,Firm,194J,10%,5212.0,46908.0,Professional Fees
Transport charges paid,401978,Contractor,194C,1%,4019.78,397958.22,Contractor Expense
Vendor supply payment,88097,Firm,194Q,0.1%,88.1,88008.9,Purchase Expense
Labour charges paid,476808,Firm,194C,1%,4768.08,472039.92,Contractor Expense
Bank interest paid,469557,Contractor,194A,10%,46955.7,422601.3,Interest Expense
Finance charges paid,206506,Contractor,194A,10%,20650.6,185855.4,Interest Expense
Agent incentive paid,334716,Firm,194H,5%,16735.8,317980.2,Commission Expense
Purchase of stock items,130010,Contractor,194Q,0.1%,130.01,129879.99,Purchase Expense
Vendor supply payment,404147,Contractor,194Q,0.1%,404.15,403742.85,Purchase Expense
Goods purchased from vendor,443714,Firm,194Q,0.1%,443.71,443270.29,Purchase Expense
Brokerage charges paid,243053,Company,194H,5%,12152.65,230900.35,Commission Expense
Contractor payment made,355924,Firm,194C,1%,3559.24,352364.76,Contractor Expense
Commission paid to agent,270215,Individual,194H,5%,13510.75,256704.25,Commission Expense
Property rent paid,471397,Individual,194I,10%,47139.7,424257.3,Rent Expense
Raw material purchase made,474291,Contractor,194Q,0.1%,474.29,473816.71,Purchase Expense
Doctor consultation fees paid,200221,Company,194J,10%,20022.1,180198.9,Professional Fees
Legal consultancy fees paid,129504,Professional,194J,10%,12950.4,116553.6,Professional Fees
Purchase of stock items,129200,Individual,194Q,0.1%,129.2,129070.8,Purchase Expense
Shop rent transferred,350765,Contractor,194I,10%,35076.5,315688.5,Rent Expense
Interest payment booked,47412,Firm,194A,10%,4741.2,42670.8,Interest Expense
Freight charges paid,404209,Contractor,194C,1%,4042.09,400166.91,Contractor Expense
Construction work payment,242938,Individual,194C,1%,2429.38,240508.62,Contractor Expense
Contractor payment made,243588,Company,194C,1%,2435.88,241152.12,Contractor Expense
Transport charges paid,68141,Individual,194C,1%,681.41,67459.59,Contractor Expense
CA fees paid,248432,Contractor,194J,10%,24843.2,223588.8,Professional Fees
Referral commission paid,86341,Professional,194H,5%,4317.05,82023.95,Commission Expense
Warehouse rent paid,458160,Individual,194I,10%,45816.0,412344.0,Rent Expense
Construction work payment,483096,Contractor,194C,1%,4830.96,478265.04,Contractor Expense
CA fees paid,348583,Professional,194J,10%,34858.3,313724.7,Professional Fees
Building lease payment,477388,Professional,194I,10%,47738.8,429649.2,Rent Expense
Referral commission paid,51867,Individual,194H,5%,2593.35,49273.65,Commission Expense
Vendor supply payment,217986,Professional,194Q,0.1%,217.99,217768.01,Purchase Expense
Purchase of stock items,146755,Company,194Q,0.1%,146.75,146608.25,Purchase Expense
Office rent paid,330288,Individual,194I,10%,33028.8,297259.2,Rent Expense
Agent incentive paid,352374,Firm,194H,5%,17618.7,334755.3,Commission Expense
Brokerage charges paid,120195,Contractor,194H,5%,6009.75,114185.25,Commission Expense
Legal consultancy fees paid,432107,Firm,194J,10%,43210.7,388896.3,Professional Fees
Contractor payment made,164589,Contractor,194C,1%,1645.89,162943.11,Contractor Expense
Bulk inventory purchase,337159,Individual,194Q,0.1%,337.16,336821.84,Purchase Expense
Goods purchased from vendor,357276,Professional,194Q,0.1%,357.28,356918.72,Purchase Expense
Professional consultancy charges,435195,Firm,194J,10%,43519.5,391675.5,Professional Fees
Audit fees paid,311024,Company,194J,10%,31102.4,279921.6,Professional Fees
Raw material purchase made,300683,Company,194Q,0.1%,300.68,300382.32,Purchase Expense
Property rent paid,334511,Professional,194I,10%,33451.1,301059.9,Rent Expense
Brokerage charges paid,166977,Individual,194H,5%,8348.85,158628.15,Commission Expense
Finance charges paid,405328,Firm,194A,10%,40532.8,364795.2,Interest Expense
Referral commission paid,44013,Individual,194H,5%,2200.65,41812.35,Commission Expense
Referral commission paid,297619,Individual,194H,5%,14880.95,282738.05,Commission Expense
Professional consultancy charges,211879,Individual,194J,10%,21187.9,190691.1,Professional Fees
Property rent paid,89594,Professional,194I,10%,8959.4,80634.6,Rent Expense
Sales commission payment,258177,Firm,194H,5%,12908.85,245268.15,Commission Expense
Goods purchased from vendor,30147,Contractor,194Q,0.1%,30.15,30116.85,Purchase Expense
CA fees paid,236991,Company,194J,10%,23699.1,213291.9,Professional Fees
Audit fees paid,58133,Company,194J,10%,5813.3,52319.7,Professional Fees
Finance charges paid,243884,Firm,194A,10%,24388.4,219495.6,Interest Expense
Referral commission paid,398604,Contractor,194H,5%,19930.2,378673.8,Commission Expense
Agent incentive paid,7087,Professional,194H,5%,354.35,6732.65,Commission Expense
Interest on unsecured loan,80233,Company,194A,10%,8023.3,72209.7,Interest Expense
Warehouse rent paid,480617,Contractor,194I,10%,48061.7,432555.3,Rent Expense
Transport charges paid,78182,Firm,194C,1%,781.82,77400.18,Contractor Expense
Goods purchased from vendor,372482,Professional,194Q,0.1%,372.48,372109.52,Purchase Expense
Vendor supply payment,129353,Company,194Q,0.1%,129.35,129223.65,Purchase Expense
Audit fees paid,164547,Firm,194J,10%,16454.7,148092.3,Professional Fees
Commission paid to agent,439827,Contractor,194H,5%,21991.35,417835.65,Commission Expense
Bank interest paid,42180,Firm,194A,10%,4218.0,37962.0,Interest Expense
CA fees paid,443004,Company,194J,10%,44300.4,398703.6,Professional Fees
Audit fees paid,367846,Company,194J,10%,36784.6,331061.4,Professional Fees
Agent incentive paid,95917,Firm,194H,5%,4795.85,91121.15,Commission Expense
Labour charges paid,150955,Firm,194C,1%,1509.55,149445.45,Contractor Expense
Legal consultancy fees paid,154746,Firm,194J,10%,15474.6,139271.4,Professional Fees
Doctor consultation fees paid,58792,Individual,194J,10%,5879.2,52912.8,Professional Fees
Interest paid on loan,450980,Company,194A,10%,45098.0,405882.0,Interest Expense
Interest on unsecured loan,409798,Professional,194A,10%,40979.8,368818.2,Interest Expense
Shop rent transferred,318425,Firm,194I,10%,31842.5,286582.5,Rent Expense
CA fees paid,440494,Firm,194J,10%,44049.4,396444.6,Professional Fees
Commission paid to agent,460621,Contractor,194H,5%,23031.05,437589.95,Commission Expense
Contractor payment made,197773,Contractor,194C,1%,1977.73,195795.27,Contractor Expense
Interest on unsecured loan,330370,Company,194A,10%,33037.0,297333.0,Interest Expense
Office rent paid,376043,Professional,194I,10%,37604.3,338438.7,Rent Expense
Bulk inventory purchase,194419,Professional,194Q,0.1%,194.42,194224.58,Purchase Expense
Bulk inventory purchase,93974,Professional,194Q,0.1%,93.97,93880.03,Purchase Expense
Vendor supply payment,25954,Firm,194Q,0.1%,25.95,25928.05,Purchase Expense
Professional consultancy charges,114162,Individual,194J,10%,11416.2,102745.8,Professional Fees
Finance charges paid,228896,Contractor,194A,10%,22889.6,206006.4,Interest Expense
Doctor consultation fees paid,416869,Contractor,194J,10%,41686.9,375182.1,Professional Fees
Bulk inventory purchase,163853,Professional,194Q,0.1%,163.85,163689.15,Purchase Expense
Bulk inventory purchase,182310,Contractor,194Q,0.1%,182.31,182127.69,Purchase Expense
Audit fees paid,494461,Professional,194J,10%,49446.1,445014.9,Professional Fees
Purchase of stock items,100832,Company,194Q,0.1%,100.83,100731.17,Purchase Expense
Raw material purchase made,256904,Contractor,194Q,0.1%,256.9,256647.1,Purchase Expense
Doctor consultation fees paid,272398,Individual,194J,10%,27239.8,245158.2,Professional Fees
Bank interest paid,278084,Individual,194A,10%,27808.4,250275.6,Interest Expense
Goods purchased from vendor,470954,Contractor,194Q,0.1%,470.95,470483.05,Purchase Expense
Sales commission payment,109940,Individual,194H,5%,5497.0,104443.0,Commission Expense
Office rent paid,40119,Contractor,194I,10%,4011.9,36107.1,Rent Expense
Raw material purchase made,182661,Individual,194Q,0.1%,182.66,182478.34,Purchase Expense
Interest paid on loan,281489,Contractor,194A,10%,28148.9,253340.1,Interest Expense
Raw material purchase made,462365,Individual,194Q,0.1%,462.37,461902.63,Purchase Expense
Vendor supply payment,447692,Company,194Q,0.1%,447.69,447244.31,Purchase Expense
Agent incentive paid,12250,Contractor,194H,5%,612.5,11637.5,Commission Expense
Labour charges paid,498342,Professional,194C,1%,4983.42,493358.58,Contractor Expense
Interest on unsecured loan,380671,Company,194A,10%,38067.1,342603.9,Interest Expense
Sales commission payment,184731,Company,194H,5%,9236.55,175494.45,Commission Expense
Sales commission payment,183602,Company,194H,5%,9180.1,174421.9,Commission Expense
Bank interest paid,261000,Firm,194A,10%,26100.0,234900.0,Interest Expense
Bank interest paid,368965,Firm,194A,10%,36896.5,332068.5,Interest Expense
Brokerage charges paid,36774,Firm,194H,5%,1838.7,34935.3,Commission Expense
Office rent paid,499840,Contractor,194I,10%,49984.0,449856.0,Rent Expense
Shop rent transferred,256605,Individual,194I,10%,25660.5,230944.5,Rent Expense
Agent incentive paid,180410,Company,194H,5%,9020.5,171389.5,Commission Expense
Professional consultancy charges,334980,Professional,194J,10%,33498.0,301482.0,Professional Fees
Transport charges paid,441562,Company,194C,1%,4415.62,437146.38,Contractor Expense
CA fees paid,187565,Company,194J,10%,18756.5,168808.5,Professional Fees
Raw material purchase made,160185,Company,194Q,0.1%,160.19,160024.81,Purchase Expense
Interest payment booked,171387,Contractor,194A,10%,17138.7,154248.3,Interest Expense
Goods purchased from vendor,39826,Professional,194Q,0.1%,39.83,39786.17,Purchase Expense
Raw material purchase made,286993,Professional,194Q,0.1%,286.99,286706.01,Purchase Expense
Interest payment booked,431220,Individual,194A,10%,43122.0,388098.0,Interest Expense
Bulk inventory purchase,69686,Professional,194Q,0.1%,69.69,69616.31,Purchase Expense
Shop rent transferred,170702,Contractor,194I,10%,17070.2,153631.8,Rent Expense
Bulk inventory purchase,71311,Firm,194Q,0.1%,71.31,71239.69,Purchase Expense
Bulk inventory purchase,359234,Professional,194Q,0.1%,359.23,358874.77,Purchase Expense
Raw material purchase made,396288,Company,194Q,0.1%,396.29,395891.71,Purchase Expense
Professional consultancy charges,294310,Firm,194J,10%,29431.0,264879.0,Professional Fees
Construction work payment,333879,Contractor,194C,1%,3338.79,330540.21,Contractor Expense
Sales commission payment,37603,Professional,194H,5%,1880.15,35722.85,Commission Expense
Interest on unsecured loan,397461,Contractor,194A,10%,39746.1,357714.9,Interest Expense
Referral commission paid,413724,Professional,194H,5%,20686.2,393037.8,Commission Expense
Bulk inventory purchase,424887,Individual,194Q,0.1%,424.89,424462.11,Purchase Expense
Professional consultancy charges,461546,Firm,194J,10%,46154.6,415391.4,Professional Fees
Goods purchased from vendor,173071,Contractor,194Q,0.1%,173.07,172897.93,Purchase Expense
Office rent paid,372985,Firm,194I,10%,37298.5,335686.5,Rent Expense
Sales commission payment,456626,Professional,194H,5%,22831.3,433794.7,Commission Expense
Legal consultancy fees paid,437180,Individual,194J,10%,43718.0,393462.0,Professional Fees
Interest payment booked,350789,Contractor,194A,10%,35078.9,315710.1,Interest Expense
Brokerage charges paid,490719,Contractor,194H,5%,24535.95,466183.05,Commission Expense
Referral commission paid,269528,Firm,194H,5%,13476.4,256051.6,Commission Expense
Professional consultancy charges,340723,Contractor,194J,10%,34072.3,306650.7,Professional Fees
Property rent paid,257844,Firm,194I,10%,25784.4,232059.6,Rent Expense
Building lease payment,383406,Professional,194I,10%,38340.6,345065.4,Rent Expense
Legal consultancy fees paid,151304,Company,194J,10%,15130.4,136173.6,Professional Fees
Doctor consultation fees paid,48903,Firm,194J,10%,4890.3,44012.7,Professional Fees
Interest payment booked,184453,Professional,194A,10%,18445.3,166007.7,Interest Expense
Interest payment booked,336361,Individual,194A,10%,33636.1,302724.9,Interest Expense
Freight charges paid,436626,Professional,194C,1%,4366.26,432259.74,Contractor Expense
Audit fees paid,421187,Contractor,194J,10%,42118.7,379068.3,Professional Fees
Sales commission payment,253976,Firm,194H,5%,12698.8,241277.2,Commission Expense
CA fees paid,467798,Contractor,194J,10%,46779.8,421018.2,Professional Fees
Referral commission paid,348829,Individual,194H,5%,17441.45,331387.55,Commission Expense
Vendor supply payment,400967,Professional,194Q,0.1%,400.97,400566.03,Purchase Expense
Sales commission payment,262368,Firm,194H,5%,13118.4,249249.6,Commission Expense
Sales commission payment,90970,Professional,194H,5%,4548.5,86421.5,Commission Expense
Raw material purchase made,305713,Contractor,194Q,0.1%,305.71,305407.29,Purchase Expense
Labour charges paid,424707,Contractor,194C,1%,4247.07,420459.93,Contractor Expense
Doctor consultation fees paid,199930,Professional,194J,10%,19993.0,179937.0,Professional Fees
Building lease payment,316418,Individual,194I,10%,31641.8,284776.2,Rent Expense
Raw material purchase made,20931,Individual,194Q,0.1%,20.93,20910.07,Purchase Expense
Building lease payment,200072,Company,194I,10%,20007.2,180064.8,Rent Expense
Commission paid to agent,103652,Firm,194H,5%,5182.6,98469.4,Commission Expense
Bank interest paid,447117,Contractor,194A,10%,44711.7,402405.3,Interest Expense
Labour charges paid,423747,Firm,194C,1%,4237.47,419509.53,Contractor Expense
Brokerage charges paid,232303,Company,194H,5%,11615.15,220687.85,Commission Expense
Raw material purchase made,432699,Firm,194Q,0.1%,432.7,432266.3,Purchase Expense
Legal consultancy fees paid,419345,Professional,194J,10%,41934.5,377410.5,Professional Fees
Goods purchased from vendor,230278,Firm,194Q,0.1%,230.28,230047.72,Purchase Expense
Commission paid to agent,27782,Individual,194H,5%,1389.1,26392.9,Commission Expense
Goods purchased from vendor,306031,Firm,194Q,0.1%,306.03,305724.97,Purchase Expense
Building lease payment,145999,Firm,194I,10%,14599.9,131399.1,Rent Expense
Legal consultancy fees paid,69187,Contractor,194J,10%,6918.7,62268.3,Professional Fees
Warehouse rent paid,311217,Company,194I,10%,31121.7,280095.3,Rent Expense
Vendor supply payment,490310,Company,194Q,0.1%,490.31,489819.69,Purchase Expense
Vendor supply payment,127853,Company,194Q,0.1%,127.85,127725.15,Purchase Expense
Interest on unsecured loan,125639,Professional,194A,10%,12563.9,113075.1,Interest Expense
Raw material purchase made,497141,Company,194Q,0.1%,497.14,496643.86,Purchase Expense
Bulk inventory purchase,209636,Contractor,194Q,0.1%,209.64,209426.36,Purchase Expense
CA fees paid,409988,Firm,194J,10%,40998.8,368989.2,Professional Fees
Labour charges paid,144854,Professional,194C,1%,1448.54,143405.46,Contractor Expense
Interest paid on loan,318829,Contractor,194A,10%,31882.9,286946.1,Interest Expense
Purchase of stock items,451972,Individual,194Q,0.1%,451.97,451520.03,Purchase Expense
Interest paid on loan,248912,Contractor,194A,10%,24891.2,224020.8,Interest Expense
CA fees paid,250672,Contractor,194J,10%,25067.2,225604.8,Professional Fees
Finance charges paid,135691,Company,194A,10%,13569.1,122121.9,Interest Expense
Brokerage charges paid,158695,Contractor,194H,5%,7934.75,150760.25,Commission Expense
Freight charges paid,372705,Professional,194C,1%,3727.05,368977.95,Contractor Expense
